danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.762,0.653,11,-10.024,1,0.552,0.888,0.00743,0.167,0.503,98.491,audio_features,0YiOs06Qz9Xxe93FKm1f3k,spotify:track:0YiOs06Qz9Xxe93FKm1f3k,https://api.spotify.com/v1/tracks/0YiOs06Qz9Xxe93FKm1f3k,https://api.spotify.com/v1/audio-analysis/0YiOs06Qz9Xxe93FKm1f3k,109698,4
0.559,0.651,1,-9.042,0,0.174,0.0157,0.0144,0.11,0.244,174.038,audio_features,5Ft9Nxp9rNgrlcMGwhAfol,spotify:track:5Ft9Nxp9rNgrlcMGwhAfol,https://api.spotify.com/v1/tracks/5Ft9Nxp9rNgrlcMGwhAfol,https://api.spotify.com/v1/audio-analysis/5Ft9Nxp9rNgrlcMGwhAfol,211657,4
0.878,0.328,2,-9.563,0,0.0447,0.692,0.824,0.099,0.455,84.981,audio_features,0QKWfRrseU152MnYXluIFK,spotify:track:0QKWfRrseU152MnYXluIFK,https://api.spotify.com/v1/tracks/0QKWfRrseU152MnYXluIFK,https://api.spotify.com/v1/audio-analysis/0QKWfRrseU152MnYXluIFK,175059,4
0.765,0.675,1,-4.551,0,0.0298,0.00599,9.95e-05,0.0942,0.735,120.034,audio_features,527D034h8WFtVDOBO6GAN5,spotify:track:527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/tracks/527D034h8WFtVDOBO6GAN5,https://api.spotify.com/v1/audio-analysis/527D034h8WFtVDOBO6GAN5,162527,4
0.8,0.753,0,-8.884,1,0.0362,0.353,0.75,0.373,0.63,126.977,audio_features,4CvrZAA0I1rG4tlvwYydi4,spotify:track:4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/tracks/4CvrZAA0I1rG4tlvwYydi4,https://api.spotify.com/v1/audio-analysis/4CvrZAA0I1rG4tlvwYydi4,132336,4
0.861,0.441,6,-6.249,1,0.18,0.108,0.0,0.1,0.693,130.069,audio_features,2PXxdh7WHZAlONZW8P3H2h,spotify:track:2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/tracks/2PXxdh7WHZAlONZW8P3H2h,https://api.spotify.com/v1/audio-analysis/2PXxdh7WHZAlONZW8P3H2h,107538,4
0.826,0.627,11,-6.323,0,0.0339,0.103,0.0,0.099,0.864,131.0,audio_features,1Mm9DXmUXT2xiCQAZPEEaK,spotify:track:1Mm9DXmUXT2xiCQAZPEEaK,https://api.spotify.com/v1/tracks/1Mm9DXmUXT2xiCQAZPEEaK,https://api.spotify.com/v1/audio-analysis/1Mm9DXmUXT2xiCQAZPEEaK,159171,4
0.682,0.612,6,-7.232,0,0.0423,0.104,0.0,0.13,0.318,75.491,audio_features,7l8Q5hVtKz2Ztold6N2gLh,spotify:track:7l8Q5hVtKz2Ztold6N2gLh,https://api.spotify.com/v1/tracks/7l8Q5hVtKz2Ztold6N2gLh,https://api.spotify.com/v1/audio-analysis/7l8Q5hVtKz2Ztold6N2gLh,149013,4
0.782,0.644,1,-6.341,0,0.115,0.00676,0.0,0.327,0.774,120.03,audio_features,3WIWqQMBUBQgmJERv3xTMV,spotify:track:3WIWqQMBUBQgmJERv3xTMV,https://api.spotify.com/v1/tracks/3WIWqQMBUBQgmJERv3xTMV,https://api.spotify.com/v1/audio-analysis/3WIWqQMBUBQgmJERv3xTMV,171500,4
0.695,0.813,11,-4.628,1,0.0325,0.0456,0.0,0.135,0.629,99.996,audio_features,05wSx129HwVCEpXpjAXn6X,spotify:track:05wSx129HwVCEpXpjAXn6X,https://api.spotify.com/v1/tracks/05wSx129HwVCEpXpjAXn6X,https://api.spotify.com/v1/audio-analysis/05wSx129HwVCEpXpjAXn6X,200100,4
